Designator,Footprint,Quantity,Value,LCSC Part #
AMP1,Amp5128,1,5128,
"C1, C2, C3",CP_Radial_D5.0mm_P2.50mm,3,DNP,
"C10, C11, C12, C18, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C43, C44, C45, C46, C52, C57, C58, C7, C8, C9",CP_P5.00mm,31,100nF,
"C13, C14, C42",CP_EIA-7343-31_Kemet-D,3,DNP,
"C15, C16",CP_P5.00mm,2,100nF,C14663
C17,CP_Radial_D5.0mm_P2.50mm,1,220uF,C59461
"C19, C37, C38, C39, C40, C41, C47, C50, C51, C54, C55, C59, C60",CP_Radial_D5.0mm_P2.50mm,13,10uF,
C4,CP_Radial_D10.0mm_P5.00mm,1,470uF,
"C48, C49",C_Disc_D3.0mm_W2.0mm_P2.50mm,2,22nF,
"C5, C6",CP_Radial_D8.0mm_P3.50mm,2,220uF,
C53,CP_P5.00mm,1,22nF,
C56,CP_P5.00mm,1,DNP,C14663
D1,LED_D5.0mm,1,PWR_LED,
"D10, D11, D3, D9",D_DO-35_SOD27_P7.62mm_Horizontal,4,1N4148,
D2,D_DO-41_SOD81_P7.62mm_Horizontal,1,1N5817,
D4,LED_D3.0mm,1,WIFI_LED,C2290
"D5, D6",LED_D3.0mm,2,CAPS,
"D7, D8",LED_D3.0mm,2,KANA,
"F1, F2",THT+SMD(Fuse),2,Fuse,
FREQ1,si5351,1,SI5351,
"HOLE1, HOLE12, HOLE2, HOLE3, HOLE4, HOLE5, HOLE6, HOLE7, HOLE8, HOLE9",MountingHole_3mm_Pad_TopBottom_new,10,HOLE,
"HOLE10, HOLE11",MountingHole_2mm_Pad_TopBottom_new,2,HOLE,
J1,BarrelJack_Horizontal,1,Barrel_Jack,
J10,PinHeader_1x04_P2.54mm_Vertical,1,I2C,
J11,PinHeader_1x04_P2.54mm_Vertical,1,UART,
J12,MH-M18,1,BT MX18,
"J13, J15, J19",ledstrip_end,3,RGB Strip,
"J14, J16, J18",ledstrip,3,RGB Strip,
J17,FanPinHeader_1x03_P2.54mm_Vertical,1,RGB out,
J2,USB-C Decoy,1,USB Module,
J20,PinHeader_1x02_P2.54mm_Vertical,1,SPKR1,
J21,PinHeader_1x02_P2.54mm_Vertical,1,SPKR2,
J22,PinHeader_1x02_P2.54mm_Vertical,1,Conn_5V,
J3,dd1718pa_down,1,DD1718PA 12V,
J4,Conn_Edge_50P,1,SLOT1,
J5,Conn_Edge_50P,1,SLOT2,
J6,Conn_RCA_Right,1,Audio Out,
J7,Conn_Dsub_DE9M,1,Joystick1,
J8,Conn_Dsub_DE9M,1,Joystick2,
J9,DIN8,1,DIN-8,
JP1,PinHeader_1x02_P2.54mm_Vertical,1,ESP PWR,
JP2,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,XTAL ON,
JP3,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,XTAL>SYS,
JP7,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,50on,
OVP1,OVP,1,5V,
"Q1, Q2",TO-92,2,BC558,
Q3,TO-92,1,BC548,
"R1, R13, R42, R43",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,4,470R,
"R10, R11",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,20K,
R12,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,2K2,
"R14, R25, R40",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,3,1K,
"R15, R16, R23, R8, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,5,4K7,
R17,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,100R,
"R18, R2, R22, R3, R4, R44, R5, R6, R7",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,9,10K,
R19,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,470K,
"R20, R21",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,2K7,
R24,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,220K,
R26,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,18K,
"R27, R28, R29, R30, R31, R32, R39",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,7,10K,C11702
R33,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,3K3,C11702
"R34, R35, R36",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,3,470,C11702
R37,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,220R,C11702
R38,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1M,C11702
R41,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,470,
R45,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,150,
RN1,R_Array_SIP9,1,4.7K,
RN2,R_Array_SIP9,1,4K7,
