Designator,Mid X,Mid Y,Rotation,Layer
AMP1,158.295396,-44.140005,180.0,top
C10,67.2,-107.7,90.0,top
C11,50.5,-39.35,0.0,top
C12,56.85,-107.7,270.0,top
C15,64.344737,-95.809844,0.0,top
C16,64.3,-82.4,0.0,top
C17,326.5424,-129.297999,270.0,top
C18,86.8,-104.2,90.0,top
C19,127.7,-45.6449,270.0,top
C20,142.0114,-39.1922,0.0,top
C21,126.7968,-26.6,90.0,top
C22,135.4,-26.6,90.0,top
C23,293.7764,-95.3408,270.0,top
C24,143.51,-53.098328,180.0,top
C25,103.6,-44.9,90.0,top
C26,174.0,-79.9,0.0,top
C27,138.542288,-55.6,90.0,top
C28,106.2,-77.7,90.0,top
C29,105.5,-33.0,0.0,top
C30,106.0,-62.3,90.0,top
C31,254.508,-79.883,90.0,top
C32,202.0,-76.7,270.0,top
C33,188.6,-22.0,0.0,top
C34,188.8,-53.8,180.0,top
C35,229.6,-40.9,180.0,top
C36,174.0,-22.0,0.0,top
C37,287.4772,-121.443313,90.0,top
C38,272.5,-121.443313,90.0,top
C39,264.9728,-121.443313,90.0,top
C4,46.7,-66.732323,270.0,top
C40,249.586494,-112.386345,180.0,top
C41,280.1366,-121.443313,90.0,top
C43,289.935,-104.935,0.0,top
C44,323.855,-119.655,90.0,top
C45,351.9,-82.2,90.0,top
C46,352.2,-119.855,90.0,top
C47,257.1,-121.4449,270.0,top
C48,297.342114,-121.536436,270.0,top
C49,299.900314,-121.536436,270.0,top
C5,67.7,-66.502651,90.0,top
C50,318.9732,-129.1644,90.0,top
C51,249.5,-121.4449,270.0,top
C52,143.1544,-62.3824,0.0,top
C53,151.6888,-26.3652,90.0,top
C54,131.0894,-23.8306,90.0,top
C55,258.4504,-104.902,180.0,top
C57,180.4,-121.6,270.0,top
C58,180.4,-134.2625,270.0,top
C59,211.15,-133.8,90.0,top
C6,57.6072,-66.543749,270.0,top
C60,246.424888,-102.235,0.0,top
C7,60.3,-107.7,90.0,top
C8,50.5,-35.9,0.0,top
C9,63.750001,-107.7,270.0,top
D1,70.795,-122.975,0.0,top
D10,83.9724,-226.5172,90.0,top
D11,86.4939,-226.5362,90.0,top
D2,193.19,-84.8,180.0,top
D3,247.59,-128.6,0.0,top
D4,332.68,-137.7,180.0,top
D5,77.9018,-227.75,90.0,top
D6,58.93,-194.8,180.0,top
D7,244.6125,-232.79,0.0,top
D8,311.3382,-227.75,270.0,top
D9,81.4261,-226.512,90.0,top
F1,75.3364,-66.2307,90.0,top
F2,346.6717,-137.2108,0.0,top
FREQ1,104.67,-106.8,0.0,top
J1,60.187,-30.425,270.0,top
J10,82.7,-90.37,180.0,top
J11,364.730001,-207.3,90.0,top
J12,255.016,-31.496,0.0,bottom
J13,43.561,-29.3032,0.0,bottom
J14,43.5229,-231.3432,180.0,bottom
